date,listeners,streams,followers
2019-09-07,455,705,479
2019-09-06,523,829,479
2019-09-05,587,890,479
2019-09-04,616,1022,478
2019-09-03,759,1501,474
2019-09-02,720,1216,474
2019-09-01,458,708,474
2019-08-31,495,829,471
2019-08-30,546,876,470
2019-08-29,584,920,471
2019-08-28,715,1199,471
2019-08-27,790,1210,470
2019-08-26,870,1328,470
2019-08-25,568,837,470
2019-08-24,551,807,470
2019-08-23,638,909,470
2019-08-22,841,1290,470
2019-08-21,1146,1934,466
2019-08-20,1212,1952,466
2019-08-19,1268,2114,465
2019-08-18,853,1597,462
2019-08-17,862,1561,463
2019-08-16,892,1604,463
2019-08-15,939,1559,463
2019-08-14,927,1534,463
2019-08-13,553,820,462
2019-08-12,423,727,462
2019-08-11,566,937,460
2019-08-10,567,922,460
2019-08-09,689,1124,460
2019-08-08,768,1131,459
2019-08-07,896,1286,458
2019-08-06,1191,1773,455
2019-08-05,1247,1677,453
2019-08-04,308,408,449
2019-08-03,262,375,449
2019-08-02,309,492,449
2019-08-01,303,454,448
2019-07-31,320,498,448
2019-07-30,428,610,448
2019-07-29,425,580,448
2019-07-28,254,319,447
2019-07-27,231,308,447
2019-07-26,258,402,447
2019-07-25,299,398,447
2019-07-24,500,682,447
2019-07-23,713,1105,447
2019-07-22,707,1007,447
2019-07-21,642,983,446
2019-07-20,627,963,445
2019-07-19,682,1119,444
2019-07-18,780,1173,443
2019-07-17,810,1236,441
2019-07-16,768,1317,441
2019-07-15,860,1269,439
2019-07-14,790,1136,438
2019-07-13,880,1271,438
2019-07-12,900,1407,437
2019-07-11,967,1678,437
2019-07-10,1104,1824,436
2019-07-09,1254,2165,436
2019-07-08,1318,2208,436
2019-07-07,876,1489,437
2019-07-06,872,1509,437
2019-07-05,908,1662,437
2019-07-04,967,1743,435
2019-07-03,877,1412,435
2019-07-02,989,1396,435
2019-07-01,1084,1471,434
2019-06-30,677,1017,434
2019-06-29,675,955,433
2019-06-28,684,999,430
2019-06-27,744,1117,430
2019-06-26,757,1147,429
2019-06-25,812,1160,428
2019-06-24,929,1318,428
2019-06-23,508,788,428
2019-06-22,561,805,427
2019-06-21,618,947,426
2019-06-20,647,962,424
2019-06-19,660,1020,424
2019-06-18,746,1188,422
2019-06-17,781,1275,422
2019-06-16,875,1441,422
2019-06-15,962,1698,422
2019-06-14,1057,1817,421
2019-06-13,1209,2281,421
2019-06-12,1212,2090,421
2019-06-11,1196,1873,421
2019-06-10,1265,1798,421
2019-06-09,640,969,420
2019-06-08,592,903,420
2019-06-07,603,897,420
2019-06-06,713,1040,420
2019-06-05,697,1053,420
2019-06-04,786,1168,420
2019-06-03,916,1443,420
2019-06-02,934,1484,419
2019-06-01,946,1696,419
2019-05-31,1112,1909,419
2019-05-30,1018,1689,418
2019-05-29,1081,1818,416
2019-05-28,1155,1635,416
2019-05-27,804,1092,415
2019-05-26,600,844,414
2019-05-25,654,968,413
2019-05-24,655,973,413
2019-05-23,689,1036,413
2019-05-22,738,1148,411
2019-05-21,734,1047,410
2019-05-20,746,1017,409
2019-05-19,596,777,408
2019-05-18,565,766,406
2019-05-17,614,843,406
2019-05-16,665,894,404
2019-05-15,800,1731,401
2019-05-14,706,1628,401
2019-05-13,490,801,398
2019-05-12,401,581,396
2019-05-11,440,793,396
